title,price,location_city,location_state,id,url,photo_url,miles
"Electric razor scooter for kids","$15","El Cajon","CA","24011946125158134","https://www.facebook.com/marketplace/item/24011946125158134","https://scontent-lax3-1.xx.fbcdn.net/v/t45.5328-4/518870506_1423433508861296_2069832379843501231_n.jpg?stp=c0.43.261.261a_dst-jpg_p261x260_tt6&_nc_cat=104&ccb=1-7&_nc_sid=247b10&_nc_ohc=MZ1jmHpFVFIQ7kNvwEMv6j8&_nc_oc=AdmEEUh5l63gU_2iw6hcazUy5ENXFl_k78TqfhTDeZVRmDkMrEApZsbwkCOSHMwYaeIoA6xvNiISYfbyL5noHarB&_nc_zt=23&_nc_ht=scontent-lax3-1.xx&_nc_gid=5KVxBeVqWcG5kZQFJYD0yA&oh=00_AfRCqnb_TNTgTAhWifSijva1OTaHAVXnZrObBmX9-KiWtA&oe=68911F4A","N/A"
"Electric scooter","$100","San Diego","CA","1237162840923978","https://www.facebook.com/marketplace/item/1237162840923978","https://scontent-lax3-1.xx.fbcdn.net/v/t45.5328-4/509291201_683503187849091_4106364015365380025_n.jpg?stp=c0.159.261.261a_dst-jpg_p261x260_tt6&_nc_cat=108&ccb=1-7&_nc_sid=247b10&_nc_ohc=lCcc5Pk3DlsQ7kNvwHNyt1u&_nc_oc=AdkxaNI25VmKzLWynN4sZZEdGYKZnpIBKXAx-iSM5WOUW0Rx-jE5mYjKWZ5R_quxjxBPj6sayY2lBCWQ7JUDRUwF&_nc_zt=23&_nc_ht=scontent-lax3-1.xx&_nc_gid=VrksCYV4pN1d8D51JXkzZg&oh=00_AfRr90T0CiNbKklL48icd6AfadnYkeSkK7ApF1KBeJPiiw&oe=689129D0","N/A"
"Electric BIRD scooter","$50","Oceanside","CA","1650155278980741","https://www.facebook.com/marketplace/item/1650155278980741","https://scontent-lax3-1.xx.fbcdn.net/v/t45.5328-4/518777395_1341166117429273_3980440628044110773_n.jpg?stp=c0.43.261.261a_dst-jpg_p261x260_tt6&_nc_cat=110&ccb=1-7&_nc_sid=247b10&_nc_ohc=UfIqzdPe0fYQ7kNvwFJuXte&_nc_oc=AdlirigtUcm2Lmyr3vxF-W_IXrVWOojnDX_DrXPLMYFu8QJB2Y_ZPAKJyBdrmSjHL7_NCG_wmcbwo1PG82kSpN5l&_nc_zt=23&_nc_ht=scontent-lax3-1.xx&_nc_gid=8iePOELBsIWrHZWpmJMlkg&oh=00_AfTcNhtlY09nHzmIVuuFNiqXwP9I3SRuAYTvLxXTQnGDNg&oe=68910D0D","N/A"
"Schwinn Shuffle Mens and Womens Kick Scooter size 26","$100","Temecula","CA","1291336399003645","https://www.facebook.com/marketplace/item/1291336399003645","https://scontent-lax3-1.xx.fbcdn.net/v/t45.5328-4/505542621_1216946006286327_6952995248071991041_n.jpg?stp=c42.0.260.260a_dst-jpg_p261x260_tt6&_nc_cat=108&ccb=1-7&_nc_sid=247b10&_nc_ohc=BSd4RbzWKIsQ7kNvwEy8YXQ&_nc_oc=AdkduFYsgKjYNWlnKCFTIYUfM93w-JJgMucWVTNS2UPzJGpSGMpzK-Cvofpo9sB9hNdt-6hHe3wsFbh6ethWdFLK&_nc_zt=23&_nc_ht=scontent-lax3-1.xx&_nc_gid=VrksCYV4pN1d8D51JXkzZg&oh=00_AfREZ-JSpj3-HH-e7j3m2TyzPCDWRSO2IGY3u5YsPVo4lQ&oe=68912C08","N/A"
"Kick scooter","$20","Alpine","CA","2988073208020118","https://www.facebook.com/marketplace/item/2988073208020118","https://scontent-lax3-1.xx.fbcdn.net/v/t45.5328-4/523048136_765038569544119_2986341205326991320_n.jpg?stp=c0.43.261.261a_dst-jpg_p261x260_tt6&_nc_cat=104&ccb=1-7&_nc_sid=247b10&_nc_ohc=aK6Ik_y_cu0Q7kNvwGy6N51&_nc_oc=AdkuSZ9vzn6Zyv53P9cxDX_KNvKK61XiPfl8QHzSCnOPfpr4vLK_HiSdGFiUC7qdz2oZt31BNZ31TEag1STmLHYg&_nc_zt=23&_nc_ht=scontent-lax3-1.xx&_nc_gid=dvxtmiekbt7Y19puunDhiw&oh=00_AfQVY0b027GWaSiGYsVRN9yWcN_jLBpTUeMx39GCEs4pIg&oe=68911F83","N/A"
"Electric scooter","$100","El Cajon","CA","387982333903806","https://www.facebook.com/marketplace/item/387982333903806","https://scontent-lax3-1.xx.fbcdn.net/v/t45.5328-4/452569832_1186034865769292_7635841602882333761_n.jpg?stp=c0.66.261.261a_dst-jpg_p261x260_tt6&_nc_cat=102&ccb=1-7&_nc_sid=247b10&_nc_ohc=N9rP6oTyetQQ7kNvwGGLl3A&_nc_oc=AdmMHjpCYJkM82E71dafLVAScQ5J-nCKAm6XXyYkYxHsuBhVaO1qXk5HFL-k6vFi3YrUGlUXXr6EvL9wg8vCHQct&_nc_zt=23&_nc_ht=scontent-lax3-1.xx&_nc_gid=5KVxBeVqWcG5kZQFJYD0yA&oh=00_AfQguktKXDVrowoUEBDZnlgfjon8xTGRI8OBr3CoH3n0WQ&oe=689103F9","N/A"
"Prodigy scooters","$50","Valley Center","CA","1416781892861668","https://www.facebook.com/marketplace/item/1416781892861668","https://scontent-lax3-2.xx.fbcdn.net/v/t45.5328-4/525462785_2264059840717784_4336938210561493511_n.jpg?stp=c0.43.261.261a_dst-jpg_p261x260_tt6&_nc_cat=106&ccb=1-7&_nc_sid=247b10&_nc_ohc=io75Ak8Rri0Q7kNvwEdtdEl&_nc_oc=AdkniN-w74yaOuL_I8ZYf4zxZfTSk-yL42Kr0p8m_TMwkbc8fEJgqEhnKExT3VOqtxJMgvYgbohoqCYNx6p77OcT&_nc_zt=23&_nc_ht=scontent-lax3-2.xx&_nc_gid=5KVxBeVqWcG5kZQFJYD0yA&oh=00_AfSW8RQSgYFdeNTgbJDnMInVNoEwAQtvx7OKzhNpkuyiew&oe=689125C4","N/A"
"Mosquito (Goped scooter)","$2","Escondido","CA","706095282284549","https://www.facebook.com/marketplace/item/706095282284549","https://scontent-lax3-1.xx.fbcdn.net/v/t45.5328-4/472400619_2059937061152521_8458396891695543684_n.jpg?stp=c0.152.261.261a_dst-jpg_p261x260_tt6&_nc_cat=108&ccb=1-7&_nc_sid=247b10&_nc_ohc=-N_3kCfVHnIQ7kNvwFf5A7U&_nc_oc=AdmPaMfmrfCDn20GRrLi_zais_bRYk425bwsbLYFO0HS7bVqBfUIQbTVQOodiRSKBgLFAA31aQWTMob8SUsXxvBp&_nc_zt=23&_nc_ht=scontent-lax3-1.xx&_nc_gid=8iePOELBsIWrHZWpmJMlkg&oh=00_AfT_ehDOvtpMuQ1gILcZ49YxyNEnxS-sEQcUkdt4FPfHUA&oe=68913983","N/A"
"Segway ninebot scooter","$100","San Diego","CA","1426067561845426","https://www.facebook.com/marketplace/item/1426067561845426","https://scontent-lax3-2.xx.fbcdn.net/v/t45.5328-4/521686860_1851481685428108_8856823876139950104_n.jpg?stp=c43.0.260.260a_dst-jpg_p261x260_tt6&_nc_cat=100&ccb=1-7&_nc_sid=247b10&_nc_ohc=rTm2_1Rx0jEQ7kNvwETCach&_nc_oc=AdleU72rXOVfGODRmG0n6HInE3EfVS5-FFRgViqJ3sIM0D4ZGvtccMswnW2FRQJzd1mObJzUIPPWnFW4G2csgcQ_&_nc_zt=23&_nc_ht=scontent-lax3-2.xx&_nc_gid=5KVxBeVqWcG5kZQFJYD0yA&oh=00_AfT0ajU2PfmPXMHHp7vzJvKG0EHpW8DmRvKSF6nOdwCAUg&oe=6891387A","N/A"
"Electric scooter","$80","Upland","CA","774112561634413","https://www.facebook.com/marketplace/item/774112561634413","https://scontent-lax3-1.xx.fbcdn.net/v/t45.5328-4/525518735_735356162579340_2447257971967769106_n.jpg?stp=c0.151.261.261a_dst-jpg_p261x260_tt6&_nc_cat=108&ccb=1-7&_nc_sid=247b10&_nc_ohc=52AyRThlf2kQ7kNvwF4QI3s&_nc_oc=Adl8PNaJ9PSTWAFe-dTJimuutliX3H13QURml3U-K27cgBzFbDyvGbLadH8Ob5dNkdqEMDfb5205zxtvW5BNE482&_nc_zt=23&_nc_ht=scontent-lax3-1.xx&_nc_gid=8iePOELBsIWrHZWpmJMlkg&oh=00_AfRfnPY8QJpBlOhItB_nlgCOW7DaIw66S64P3eWcQalKew&oe=6891055E","N/A"
